Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
211636,-174.827,-28.680,-39.787,181.576
211648,-174.880,-28.693,-39.760,181.624
211660,-175.107,-28.587,-39.867,181.849
211672,-175.067,-28.747,-39.987,181.862
211683,-175.107,-28.693,-40.107,181.918
211695,-175.107,-28.653,-40.080,181.906
211707,-175.013,-28.667,-39.800,181.757
211719,-175.213,-28.587,-39.533,181.879
211730,-175.200,-28.747,-39.453,181.874
211742,-175.213,-28.640,-39.707,181.925
211776,-175.040,-28.800,-40.507,181.959
211788,-175.067,-28.787,-40.533,181.989
211800,-175.160,-28.867,-40.587,182.103
211812,-175.133,-29.027,-40.187,182.014
211823,-175.120,-29.000,-39.987,181.953
211835,-175.027,-29.000,-40.120,181.893
211847,-175.040,-28.880,-40.267,181.919
211859,-175.013,-28.973,-40.320,181.920
211870,-175.160,-29.147,-40.320,182.089
211882,-175.133,-29.053,-40.400,182.066
211894,-175.200,-28.960,-40.467,182.130
211906,-175.320,-28.827,-40.480,182.227
211918,-175.253,-28.960,-40.267,182.137
211929,-175.360,-28.867,-40.173,182.204
211941,-175.360,-28.867,-40.120,182.192
211975,-175.253,-28.987,-40.347,182.159
211987,-175.173,-28.800,-40.467,182.079
211999,-175.173,-28.693,-40.493,182.068
212010,-175.133,-28.867,-40.507,182.060
212022,-175.173,-28.960,-40.640,182.143
212034,-175.013,-28.973,-40.693,182.003
212046,-174.947,-28.867,-40.600,181.901
212058,-175.053,-28.960,-40.520,182.001
212069,-175.280,-29.053,-40.480,182.225
212081,-175.253,-28.867,-40.347,182.140
212093,-175.067,-28.720,-40.267,181.919
212105,-175.093,-28.693,-40.160,181.917
212116,-175.200,-28.747,-39.947,181.981
212128,-174.947,-28.733,-39.987,181.744
212140,-174.867,-28.787,-39.960,181.670
212152,-174.933,-28.973,-39.747,181.717
212186,-174.947,-28.627,-39.827,181.692
212198,-174.800,-28.520,-39.853,181.540
212209,-175.040,-28.520,-39.840,181.768
212221,-174.947,-28.733,-39.880,181.721
212233,-174.987,-28.720,-40.160,181.819
212245,-174.960,-28.627,-40.387,181.828
212256,-175.147,-28.600,-40.440,182.016
212268,-175.053,-28.560,-40.440,181.920
212280,-175.067,-28.667,-40.480,181.958
212292,-175.067,-28.613,-40.520,181.959
212304,-174.973,-28.893,-40.507,181.910
212315,-174.973,-28.933,-40.480,181.911
212327,-174.840,-28.773,-40.587,181.781
212339,-174.987,-28.667,-40.733,181.938
212351,-175.120,-28.600,-40.453,181.993
212385,-175.253,-28.560,-40.440,182.112
212396,-175.240,-28.533,-40.373,182.080
212408,-175.307,-28.667,-40.253,182.139
212420,-175.253,-28.773,-40.413,182.140
212432,-175.027,-28.880,-40.533,181.965
212444,-175.107,-28.760,-40.573,182.032
212455,-175.120,-28.800,-40.573,182.051
212467,-175.200,-28.840,-40.387,182.093
212479,-175.280,-28.813,-40.227,182.130
212491,-175.440,-28.733,-39.920,182.204
212503,-175.493,-28.800,-39.787,182.237
212514,-175.467,-28.707,-39.853,182.211
212526,-175.253,-28.640,-39.600,181.940
212538,-175.413,-28.573,-39.320,182.023
212550,-175.547,-28.533,-38.907,182.056
