Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
461871,24.680,-2.293,-5.733,25.441
461883,24.667,-2.307,-5.640,25.408
461894,24.693,-2.373,-5.867,25.491
461906,24.587,-2.373,-5.787,25.370
461918,24.600,-2.453,-5.960,25.430
461930,24.613,-2.453,-5.973,25.446
461964,24.640,-2.573,-6.013,25.493
461976,24.547,-2.520,-6.160,25.433
461987,24.560,-2.573,-6.160,25.451
461999,24.587,-2.600,-6.200,25.489
462011,24.507,-2.587,-6.240,25.421
462023,24.547,-2.720,-6.333,25.496
462034,24.493,-2.720,-6.293,25.435
462046,24.627,-2.693,-6.307,25.564
462058,24.560,-2.787,-6.280,25.503
462070,24.440,-2.813,-6.387,25.417
462081,24.467,-2.813,-6.347,25.433
462093,24.480,-2.933,-6.440,25.482
462105,24.520,-3.013,-6.333,25.503
462117,24.587,-2.947,-6.360,25.566
462129,24.467,-3.067,-6.320,25.455
462140,24.480,-3.147,-6.413,25.501
462174,24.533,-3.160,-6.413,25.554
462186,24.440,-3.253,-6.373,25.466
462198,24.453,-3.267,-6.333,25.471
462210,24.427,-3.227,-6.360,25.446
462221,24.507,-3.253,-6.347,25.523
462233,24.373,-3.293,-6.320,25.394
462245,24.520,-3.320,-6.373,25.551
462257,24.427,-3.227,-6.280,25.427
462269,24.413,-3.240,-6.507,25.472
462280,24.427,-3.347,-6.333,25.455
462292,24.440,-3.347,-6.373,25.478
462304,24.400,-3.360,-6.333,25.431
462316,24.373,-3.480,-6.320,25.419
462327,24.480,-3.453,-6.347,25.524
462339,24.400,-3.547,-6.333,25.457
462351,24.347,-3.480,-6.387,25.410
462385,24.373,-3.453,-6.373,25.428
462397,24.427,-3.547,-6.333,25.482
462409,24.307,-3.507,-6.347,25.365
462420,24.387,-3.480,-6.400,25.452
462432,24.427,-3.533,-6.387,25.494
462444,24.320,-3.560,-6.373,25.392
462456,24.480,-3.560,-6.387,25.549
462467,24.493,-3.680,-6.360,25.572
462479,24.480,-3.640,-6.427,25.570
462491,24.227,-3.680,-6.533,25.361
462503,24.400,-3.653,-6.467,25.505
462514,24.333,-3.680,-6.387,25.425
462526,24.373,-3.773,-6.453,25.494
462538,24.333,-3.680,-6.413,25.432
462550,24.347,-3.667,-6.440,25.450
462562,24.320,-3.733,-6.493,25.447
462596,24.373,-3.773,-6.400,25.481
462607,24.373,-3.747,-6.453,25.490
462619,24.347,-3.747,-6.440,25.461
462631,24.360,-3.800,-6.307,25.448
462643,24.280,-3.747,-6.440,25.397
462654,24.347,-3.733,-6.427,25.456
462666,24.387,-3.813,-6.427,25.506
462678,24.400,-3.907,-6.400,25.526
462690,24.400,-3.827,-6.413,25.517
462701,24.227,-3.880,-6.467,25.373
462713,24.333,-3.933,-6.360,25.456
462725,24.360,-3.933,-6.467,25.509
462737,24.320,-4.013,-6.440,25.476
462749,24.347,-3.987,-6.453,25.501
462760,24.267,-3.867,-6.467,25.409
462794,24.360,-3.960,-6.427,25.503
462806,24.333,-3.893,-6.453,25.474
462818,24.267,-3.920,-6.440,25.411
462830,24.347,-3.773,-6.373,25.448
462841,24.400,-3.720,-6.373,25.492
462853,24.400,-3.747,-6.467,25.519
462865,24.267,-3.747,-6.387,25.371
462877,24.373,-3.813,-6.360,25.476
462889,24.307,-3.773,-6.400,25.417
462900,24.347,-3.840,-6.453,25.478
462912,24.293,-3.813,-6.413,25.413
462924,24.307,-3.800,-6.320,25.401
462936,24.360,-3.787,-6.373,25.463
462947,24.427,-3.893,-6.413,25.553
462959,24.320,-3.800,-6.373,25.427
462971,24.347,-3.867,-6.453,25.482
463005,24.293,-3.760,-6.387,25.399
463017,24.387,-3.893,-6.373,25.505
463028,24.440,-3.907,-6.373,25.558
463040,24.333,-3.760,-6.467,25.457
463052,24.387,-3.827,-6.453,25.515
463064,24.253,-3.853,-6.413,25.381
463076,24.347,-3.800,-6.453,25.472
463087,24.400,-3.827,-6.413,25.517
463099,24.387,-3.880,-6.480,25.529
463111,24.280,-3.867,-6.427,25.412
463123,24.307,-3.813,-6.480,25.443
463134,24.347,-3.800,-6.507,25.486
463146,24.347,-3.827,-6.560,25.504
463158,24.387,-3.880,-6.413,25.513
463170,24.307,-3.813,-6.373,25.416
463182,24.347,-3.773,-6.493,25.479
463216,24.373,-3.840,-6.427,25.497
463227,24.360,-3.800,-6.453,25.485
463239,24.307,-3.800,-6.507,25.448
463251,24.333,-3.840,-6.507,25.479
463263,24.347,-3.787,-6.507,25.484
463274,24.347,-3.827,-6.440,25.473
463286,24.387,-3.800,-6.573,25.541
463298,24.413,-3.880,-6.480,25.555
463310,24.293,-3.813,-6.547,25.447
