Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
16714,267.187,41.453,24.533,271.494
16726,267.427,41.413,24.600,271.730
16738,267.547,41.133,24.267,271.776
16750,267.400,41.000,24.133,271.599
16761,267.120,40.867,23.813,271.275
16773,267.027,40.613,23.213,271.093
16785,266.653,40.240,22.800,270.635
16819,266.307,39.893,22.893,270.250
16831,266.040,39.973,22.947,270.003
16843,265.920,39.867,23.067,269.879
16854,265.853,39.507,23.413,269.791
16866,265.600,39.680,23.440,269.569
16878,265.280,39.960,23.533,269.303
16890,264.920,39.907,23.640,268.950
16901,264.587,39.880,23.707,268.623
16913,264.387,39.880,24.027,268.455
16925,264.240,40.040,24.213,268.351
16937,264.333,40.147,24.240,268.461
16949,264.680,40.027,24.027,268.766
16960,264.987,40.120,23.933,269.073
16972,265.253,40.213,23.773,269.336
17006,265.493,40.387,23.507,269.574
17018,265.693,40.427,23.400,269.768
17030,265.827,40.307,23.200,269.864
17041,266.240,40.253,22.947,270.242
17053,266.413,40.027,22.400,270.333
17065,266.600,40.107,21.720,270.473
17077,266.773,40.267,21.147,270.623
17088,266.613,40.213,20.840,270.433
17100,266.373,40.173,20.827,270.190
17112,266.373,40.573,20.840,270.250
17124,266.160,40.667,20.760,270.048
17136,266.053,40.467,20.787,269.915
17147,265.827,40.400,20.880,269.689
17159,265.707,40.147,20.800,269.526
17171,265.667,40.000,20.547,269.446
17205,265.680,39.813,21.053,269.470
17217,265.693,39.840,21.080,269.489
17228,265.907,40.040,21.133,269.734
17240,265.907,39.853,21.413,269.728
17252,266.013,39.693,21.627,269.827
17264,265.920,39.827,21.640,269.755
17275,265.973,39.973,21.840,269.846
17287,266.000,39.920,21.893,269.868
17299,266.333,39.987,21.813,270.200
17311,266.440,40.187,21.867,270.339
17323,266.747,40.467,22.213,270.712
17334,266.813,40.507,22.693,270.823
17346,266.920,40.573,22.707,270.939
17358,267.040,40.907,22.747,271.111
17370,267.053,41.093,22.947,271.169
17381,266.960,41.120,23.227,271.105
17415,267.013,41.160,23.227,271.164
17427,266.973,41.160,23.267,271.128
17439,267.067,40.947,23.680,271.223
17451,267.040,40.947,23.840,271.211
17463,267.133,41.013,23.920,271.320
17474,267.027,41.053,23.760,271.207
17486,266.933,40.800,23.667,271.069
17498,267.120,40.813,23.173,271.212
17510,267.253,40.760,23.053,271.325
17521,267.387,40.600,22.840,271.414
17533,267.320,40.373,22.920,271.321
17545,267.360,40.320,22.880,271.350
17557,267.293,40.467,22.773,271.297
17591,267.320,40.560,22.533,271.317
17603,267.307,40.373,22.627,271.284
17614,267.213,40.467,22.560,271.200
17626,267.053,40.587,22.747,271.076
17638,267.013,40.533,22.933,271.044
17650,266.907,40.360,22.747,270.898
17661,266.907,40.213,22.653,270.868
17673,266.933,40.173,22.547,270.879
17685,267.133,40.133,22.320,271.052
17697,267.187,40.253,22.240,271.116
17708,267.533,40.347,22.213,271.469
17720,267.627,40.560,22.533,271.619
17732,267.653,40.627,22.680,271.667
17744,267.813,40.613,22.333,271.794
17778,267.867,40.667,21.507,271.788
17790,267.853,40.587,21.560,271.767
17801,267.880,40.533,21.667,271.794
17813,268.000,40.760,21.800,271.957
17825,267.947,40.733,21.747,271.896
17837,267.947,40.840,21.520,271.894
17848,267.867,41.013,21.093,271.808
17860,267.707,40.933,21.160,271.643
17872,267.693,40.800,21.467,271.634
17884,267.293,40.507,22.120,271.249
17896,267.213,40.347,22.280,271.159
17907,267.213,40.493,22.227,271.177
17919,267.013,40.373,22.507,270.985
17931,266.867,40.400,22.827,270.871
17943,266.960,40.680,23.053,271.024
17977,267.093,40.773,22.667,271.137
17988,267.253,40.787,22.640,271.294
18000,267.440,40.747,22.600,271.469
18012,267.613,40.667,22.453,271.615
18024,267.547,40.440,22.533,271.522
18035,267.547,40.333,22.200,271.479
18047,267.373,40.147,21.480,271.223
18059,267.427,40.213,20.880,271.238
18071,267.253,39.987,20.507,271.005
18083,267.333,39.960,20.387,271.071
18094,267.413,39.947,20.520,271.158
18106,267.560,40.067,20.600,271.326
18118,267.680,40.200,20.480,271.455
18130,267.920,40.067,20.200,271.651
18141,267.827,40.360,20.013,271.589
18175,267.733,40.627,20.213,271.552
18187,267.680,40.453,20.333,271.482
18199,267.827,40.533,20.573,271.657
18211,267.853,40.653,20.760,271.715
