Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
243071,-31.227,11.053,-9.893,34.571
243083,-31.240,10.880,-9.880,34.524
243116,-31.280,11.133,-10.027,34.683
243128,-31.293,10.960,-10.000,34.632
243140,-31.240,10.867,-9.853,34.512
243152,-31.267,10.947,-9.933,34.585
243164,-31.187,10.813,-10.013,34.494
243175,-31.333,10.867,-9.853,34.597
243187,-31.293,10.907,-9.880,34.581
243199,-31.200,10.880,-9.893,34.492
243211,-31.360,10.987,-10.000,34.701
243222,-31.320,10.973,-9.867,34.622
243234,-31.200,10.867,-9.867,34.480
243246,-31.053,10.853,-9.880,34.347
243258,-31.320,10.933,-10.000,34.648
243270,-31.360,10.787,-9.973,34.630
243281,-31.320,10.960,-9.853,34.614
243315,-31.133,10.920,-10.107,34.506
243327,-31.427,10.933,-9.907,34.718
243339,-31.213,10.867,-10.013,34.534
243351,-31.240,10.960,-9.880,34.550
243362,-31.307,10.813,-9.880,34.564
243374,-31.213,10.813,-9.947,34.498
243386,-31.253,10.907,-9.973,34.572
243398,-31.280,10.973,-9.867,34.586
243410,-31.400,10.920,-9.920,34.693
243421,-31.307,10.853,-9.880,34.576
243433,-31.240,10.920,-9.960,34.560
243445,-31.267,10.960,-9.920,34.585
243457,-31.360,10.880,-10.053,34.683
243468,-31.227,10.853,-9.960,34.527
243480,-31.253,11.000,-9.947,34.593
243514,-31.280,10.947,-9.987,34.612
243526,-31.213,10.960,-9.973,34.552
243538,-31.267,10.853,-10.000,34.575
243549,-31.173,10.973,-10.080,34.551
243561,-31.347,10.827,-9.947,34.623
243573,-31.293,10.880,-9.800,34.550
243585,-31.200,10.933,-9.907,34.513
243597,-31.213,10.867,-9.920,34.507
243608,-31.413,10.960,-9.907,34.714
243620,-31.320,10.893,-9.893,34.605
243632,-31.173,10.893,-9.947,34.487
243644,-31.360,10.867,-9.973,34.655
243655,-31.280,10.920,-9.947,34.592
243667,-31.307,10.840,-9.920,34.584
243679,-31.280,10.907,-9.880,34.569
243713,-31.320,10.973,-9.907,34.634
243725,-31.240,10.880,-10.027,34.567
243737,-31.227,10.987,-9.920,34.557
243748,-31.320,10.947,-9.987,34.648
243760,-31.253,10.813,-9.920,34.527
243772,-31.280,10.733,-9.853,34.507
243784,-31.213,10.827,-9.973,34.510
243795,-31.413,11.027,-10.000,34.762
243807,-31.400,10.987,-9.960,34.726
243819,-31.307,10.827,-9.947,34.587
243831,-31.133,10.920,-9.933,34.456
243842,-31.293,10.987,-9.880,34.606
