Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
373919,5.627,226.520,-10.840,226.849
373931,5.480,227.173,-10.800,227.496
373943,5.387,227.440,-10.987,227.769
373955,5.573,227.227,-11.280,227.575
373967,5.880,226.707,-11.333,227.066
373978,5.920,226.173,-11.067,226.521
373990,5.947,225.760,-10.933,226.103
374002,6.347,225.133,-10.907,225.487
374014,6.467,224.760,-11.187,225.131
374025,6.467,224.653,-11.413,225.036
374037,6.387,224.680,-11.307,225.055
374049,6.493,224.827,-11.533,225.216
374083,6.040,225.547,-11.893,225.941
374095,5.880,225.947,-11.587,226.320
374106,5.987,226.240,-11.280,226.600
374118,6.053,226.467,-11.267,226.828
374130,5.747,226.187,-11.560,226.555
374142,5.840,225.907,-11.827,226.291
374154,6.053,225.680,-12.187,226.090
374165,6.200,225.280,-12.467,225.710
374177,6.133,225.227,-12.667,225.666
374189,5.987,225.360,-12.613,225.792
374201,5.987,225.760,-12.787,226.201
374212,5.840,226.120,-12.733,226.554
374224,5.653,226.427,-12.947,226.867
374236,5.480,226.627,-12.733,227.050
374248,5.680,226.587,-12.907,227.025
374260,5.667,226.640,-13.147,227.092
374294,5.427,227.120,-13.053,227.560
374305,5.333,227.307,-12.867,227.733
374317,5.307,227.227,-12.813,227.650
374329,5.360,226.720,-12.720,227.140
374341,5.387,226.347,-13.067,226.788
374352,5.547,225.893,-13.427,226.360
374364,5.600,225.680,-13.720,226.166
374376,5.360,225.733,-13.520,226.201
374388,5.533,225.987,-13.240,226.442
374399,5.787,226.027,-13.053,226.477
374411,5.800,226.040,-13.120,226.495
374423,5.613,226.107,-13.173,226.560
374435,5.707,226.147,-13.240,226.606
374447,5.813,226.000,-13.467,226.475
374458,5.680,225.947,-13.693,226.432
374492,5.840,226.293,-13.800,226.789
374504,5.680,226.200,-13.920,226.699
374516,5.853,226.133,-14.053,226.645
374528,5.560,226.013,-13.840,226.505
374539,5.747,225.827,-13.880,226.326
374551,5.813,225.333,-13.787,225.830
374563,5.947,224.920,-13.907,225.428
374575,5.827,225.107,-13.840,225.607
374587,5.947,225.293,-13.933,225.802
374598,5.693,225.853,-13.960,226.356
374610,5.560,225.960,-13.947,226.458
374622,5.373,225.987,-13.867,226.475
374634,5.573,226.080,-13.933,226.578
374645,5.520,225.867,-13.680,226.348
374657,5.213,225.973,-13.653,226.445
374691,5.440,225.840,-13.493,226.308
374703,5.613,225.600,-13.933,226.100
374715,5.733,225.173,-14.187,225.693
374726,5.747,225.040,-14.320,225.568
374738,5.853,225.147,-14.107,225.664
374750,5.853,225.453,-13.973,225.962
374762,5.720,225.720,-13.760,226.211
374774,5.667,225.973,-13.667,226.457
374785,5.600,226.213,-13.680,226.696
374797,5.667,226.080,-13.920,226.579
374809,5.680,225.693,-13.933,226.194
374821,5.587,225.480,-14.067,225.987
374832,5.587,225.187,-14.013,225.691
374844,5.707,225.067,-13.853,225.565
374856,5.640,224.800,-13.800,225.294
374890,5.747,224.693,-13.827,225.192
374902,5.733,224.667,-13.760,225.161
374914,5.747,224.827,-13.533,225.307
374925,5.787,225.027,-13.173,225.486
374937,5.907,225.027,-13.107,225.485
374949,5.947,225.187,-13.133,225.648
374961,5.787,225.573,-13.040,226.024
374972,5.613,226.120,-13.133,226.571
374984,5.467,226.280,-13.067,226.723
374996,5.413,226.520,-13.160,226.967
375008,5.387,226.733,-13.120,227.176
375019,5.387,226.947,-13.133,227.390
375031,5.320,226.973,-12.827,227.398
375043,5.560,226.813,-13.093,227.259
375055,5.493,226.893,-13.227,227.345
375089,5.560,227.440,-13.080,227.884
375101,5.480,227.720,-12.880,228.150
375112,5.253,228.027,-12.467,228.428
375124,5.240,227.987,-12.187,228.372
375136,5.387,227.800,-12.147,228.187
375148,5.240,227.613,-12.453,228.014
375159,5.107,227.413,-12.440,227.811
375171,5.253,227.227,-12.667,227.640
375183,5.240,227.133,-12.693,227.548
375195,5.080,227.360,-12.640,227.768
375207,5.027,227.507,-12.307,227.895
375218,4.933,227.707,-12.067,228.080
375230,4.813,227.693,-11.627,228.041
375242,4.600,227.787,-11.440,228.120
375254,4.307,228.267,-11.187,228.581
375265,4.280,228.893,-10.827,229.189
375299,3.680,230.480,-11.200,230.781
375311,3.560,231.013,-11.440,231.324
375323,3.613,231.440,-11.493,231.753
375335,3.453,231.520,-11.613,231.837
375346,3.653,231.347,-11.427,231.658
375358,3.680,231.107,-11.387,231.416
375370,3.840,230.800,-11.267,231.107
375382,4.013,230.507,-11.187,230.813
375394,4.107,230.133,-11.107,230.438
375405,4.213,230.040,-11.187,230.350
375417,4.333,229.573,-11.173,229.886
375429,4.560,229.320,-11.160,229.637
375441,4.533,229.120,-11.053,229.431
375452,4.347,229.053,-10.853,229.352
375464,4.680,228.720,-10.760,229.021
375498,4.653,228.813,-10.653,229.108
375510,4.600,229.253,-10.707,229.549
