Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
307462,10.600,25.787,-2.133,27.962
307474,10.467,25.867,-2.013,27.977
307485,10.627,25.813,-2.080,27.993
307497,10.613,25.840,-2.200,28.021
307509,10.533,25.867,-2.133,28.010
307521,10.800,25.800,-2.053,28.045
307532,10.707,25.827,-2.093,28.036
307544,10.680,25.747,-2.187,27.960
307578,10.667,25.880,-2.107,28.071
307590,10.773,25.787,-2.213,28.034
307602,10.560,25.747,-2.173,27.913
307614,10.507,25.840,-2.160,27.978
307625,10.667,25.787,-2.120,27.986
307637,10.707,25.947,-2.080,28.146
307649,10.720,25.880,-2.133,28.093
307661,10.493,25.707,-1.987,27.837
307672,10.453,25.827,-2.120,27.943
307684,10.640,25.773,-2.187,27.969
307696,10.573,25.773,-2.080,27.935
307708,10.520,25.933,-2.160,28.069
307720,10.627,25.853,-2.093,28.030
307731,10.773,25.920,-2.147,28.152
307743,10.627,25.733,-2.160,27.925
307777,10.693,25.867,-2.173,28.074
307789,10.653,25.827,-2.173,28.022
307801,10.573,25.800,-2.093,27.961
307812,10.587,25.880,-2.027,28.035
307824,10.747,25.893,-2.013,28.107
307836,10.760,25.573,-2.200,27.832
307848,10.613,25.880,-2.093,28.050
307859,10.493,25.787,-2.067,27.917
307871,10.547,25.880,-2.107,28.026
307883,10.747,25.747,-2.147,27.982
307895,10.587,25.773,-2.000,27.935
307907,10.613,25.867,-2.120,28.040
307918,10.653,25.880,-2.120,28.067
307930,10.707,25.813,-2.093,28.024
307942,10.613,25.773,-2.080,27.951
307976,10.627,25.853,-2.213,28.040
307988,10.693,25.800,-2.280,28.021
307999,10.440,25.920,-2.267,28.035
308011,10.520,25.933,-2.000,28.057
308023,10.693,25.813,-2.053,28.016
308035,10.560,25.667,-2.053,27.830
308046,10.613,25.907,-2.080,28.074
308058,10.493,25.747,-2.107,27.883
308070,10.440,25.920,-2.080,28.021
308082,10.667,25.867,-2.000,28.051
308094,10.680,25.840,-2.053,28.035
308105,10.587,25.973,-2.080,28.125
308117,10.800,25.973,-2.080,28.206
308129,10.733,25.787,-2.227,28.020
308141,10.667,25.760,-2.000,27.953
308152,10.573,25.920,-2.093,28.072
308186,10.640,25.747,-2.147,27.941
308198,10.533,25.800,-2.227,27.956
308210,10.653,25.840,-2.187,28.035
308222,10.520,25.840,-2.067,27.976
308233,10.600,25.787,-2.107,27.960
308245,10.573,25.853,-2.027,28.005
308257,10.680,25.880,-1.960,28.066
308269,10.733,25.960,-2.160,28.174
308281,10.747,25.800,-2.107,28.028
308292,10.480,25.893,-2.133,28.015
308304,10.640,25.800,-2.093,27.986
308316,10.627,25.880,-2.040,28.051
308328,10.573,25.787,-2.147,27.953
308339,10.640,25.907,-2.107,28.086
308351,10.493,25.947,-2.040,28.062
308385,10.520,25.827,-2.120,27.968
308397,10.653,25.907,-2.093,28.090
308409,10.627,25.853,-2.173,28.036
308421,10.707,25.773,-2.080,27.986
308432,10.587,25.747,-2.080,27.916
308444,10.627,25.933,-1.987,28.096
308456,10.707,25.987,-2.107,28.185
308468,10.560,25.840,-2.133,27.996
308479,10.653,25.853,-2.133,28.044
308491,10.560,25.973,-2.013,28.110
308503,10.440,25.880,-2.200,27.993
308515,10.640,25.880,-2.120,28.062
308527,10.640,25.960,-2.120,28.136
308538,10.627,25.987,-2.133,28.156
308550,10.693,25.827,-2.120,28.033
308584,10.680,25.827,-2.053,28.023
308596,10.613,25.947,-2.200,28.120
308608,10.560,25.907,-2.133,28.057
308619,10.653,25.907,-2.173,28.096
308631,10.693,25.787,-2.093,27.994
308643,10.560,25.880,-2.107,28.031
308655,10.693,25.893,-2.133,28.096
308666,10.507,25.720,-2.133,27.865
308678,10.613,25.840,-2.253,28.025
308690,10.640,25.987,-2.147,28.162
308702,10.747,25.893,-2.107,28.114
308714,10.653,25.960,-2.200,28.147
308725,10.587,25.867,-2.120,28.030
308737,10.640,25.933,-2.080,28.108
308749,10.640,25.947,-2.040,28.118
308783,10.600,25.987,-2.107,28.144
308795,10.667,26.000,-2.080,28.180
308806,10.560,26.000,-2.160,28.146
308818,10.667,25.867,-2.160,28.063
308830,10.533,25.880,-2.067,28.018
308842,10.653,25.920,-2.227,28.112
308853,10.773,25.853,-2.133,28.089
308865,10.613,25.960,-2.040,28.120
308877,10.573,25.947,-2.120,28.098
308889,10.693,26.027,-2.067,28.214
308901,10.787,25.987,-2.133,28.217
308912,10.680,25.933,-2.213,28.134
308924,10.680,25.827,-2.040,28.022
308936,10.733,25.933,-2.080,28.144
308948,10.707,26.013,-2.040,28.204
308959,10.760,25.920,-2.080,28.142
308993,10.720,25.987,-2.013,28.183
309005,10.627,25.973,-2.133,28.144
309017,10.693,25.840,-2.200,28.052
309029,10.600,25.960,-2.067,28.117
309041,10.653,25.880,-1.973,28.056
309052,10.627,26.000,-2.040,28.162
309064,10.693,25.800,-2.040,28.003
309076,10.480,25.920,-2.067,28.035
309088,10.600,25.947,-1.987,28.099
309099,10.707,25.880,-2.053,28.082
309111,10.827,25.867,-2.120,28.121
309123,10.600,25.987,-2.067,28.141
309135,10.600,25.987,-2.133,28.146
309147,10.600,25.920,-2.080,28.081
309158,10.693,25.933,-2.160,28.135
309192,10.640,26.040,-2.120,28.210
309204,10.667,25.867,-2.240,28.069
309216,10.640,25.813,-2.093,27.999
309228,10.627,25.973,-2.053,28.138
309239,10.653,25.867,-2.053,28.050
309251,10.640,25.867,-2.067,28.046
309263,10.667,25.960,-2.107,28.145
309275,10.587,25.920,-2.093,28.077
309286,10.573,25.920,-2.107,28.073
309298,10.533,25.987,-2.093,28.118
309310,10.720,26.000,-2.173,28.207
309322,10.667,25.973,-1.907,28.143
309334,10.667,25.960,-2.067,28.142
309345,10.760,25.800,-2.133,28.035
309357,10.587,26.040,-2.013,28.182
309391,10.640,25.947,-2.147,28.126
309403,10.760,25.960,-2.107,28.180
309415,10.573,25.987,-2.107,28.134
309426,10.627,25.907,-2.107,28.081
309438,10.720,25.893,-2.107,28.104
309450,10.733,25.853,-2.013,28.065
309462,10.600,25.907,-1.987,28.062
309473,10.600,25.987,-2.040,28.139
309485,10.600,26.093,-2.027,28.237
309497,10.680,25.947,-2.093,28.137
309509,10.600,25.947,-1.987,28.099
309521,10.680,26.013,-2.080,28.197
309532,10.680,25.920,-2.107,28.113
309544,10.680,26.013,-2.093,28.198
309556,10.613,26.053,-1.987,28.202
309590,10.840,26.040,-2.067,28.282
309602,10.640,25.933,-2.173,28.115
309613,10.600,25.987,-2.080,28.142
309625,10.667,26.107,-1.907,28.266
309637,10.747,25.920,-2.067,28.136
309649,10.600,25.933,-2.173,28.100
309661,10.720,26.000,-2.000,28.194
309672,10.600,25.920,-2.093,28.082
309684,10.760,25.893,-2.200,28.126
309696,10.747,25.960,-2.160,28.179
309708,10.680,26.160,-2.147,28.338
309719,10.587,26.160,-2.067,28.297
309731,10.800,25.960,-2.187,28.202
309743,10.680,26.013,-2.040,28.194
309755,10.733,26.027,-2.080,28.230
309767,10.613,26.027,-2.107,28.186
309800,10.667,25.933,-2.187,28.126
309812,10.653,26.040,-2.107,28.214
309824,10.707,26.053,-2.053,28.242
309836,10.747,25.933,-2.173,28.156
309848,10.693,25.920,-1.987,28.109
309859,10.720,26.027,-2.093,28.226
309871,10.667,25.973,-2.160,28.161
309883,10.693,25.960,-2.027,28.149
309895,10.693,25.973,-1.973,28.158
309906,10.720,26.027,-2.107,28.227
309918,10.827,26.000,-2.133,28.245
309930,10.733,25.933,-2.093,28.145
309942,10.720,25.933,-2.147,28.144
309954,10.613,26.040,-2.120,28.200
309965,10.907,26.013,-2.107,28.286
309999,10.587,26.027,-2.120,28.177
310011,10.667,26.013,-1.987,28.185
310023,10.760,26.053,-2.013,28.260
310035,10.587,26.040,-2.107,28.189
310046,10.760,25.933,-2.040,28.151
310058,10.680,26.067,-2.080,28.246
310070,10.773,25.853,-2.093,28.086
310082,10.627,25.973,-2.173,28.147
310093,10.613,25.853,-2.080,28.024
310105,10.773,26.147,-2.080,28.356
310117,10.747,26.027,-2.147,28.240
310129,10.573,25.973,-2.080,28.120
310141,10.733,25.987,-2.080,28.193
310152,10.653,25.947,-2.040,28.123
310164,10.760,26.027,-2.147,28.245
