Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
4814,12.920,-71.213,23.307,76.036
4826,13.080,-71.293,23.147,76.089
4838,12.987,-71.347,23.200,76.140
4850,13.027,-71.253,23.267,76.079
4861,13.000,-71.267,23.267,76.087
4873,13.067,-71.293,23.307,76.136
4885,12.973,-71.307,23.200,76.100
4919,13.067,-71.253,23.280,76.090
4931,13.053,-71.240,23.253,76.067
4943,13.000,-71.320,23.133,76.097
4954,12.867,-71.293,23.280,76.094
4966,13.027,-71.360,23.400,76.220
4978,13.067,-71.387,23.213,76.195
4990,12.960,-71.307,23.267,76.118
5001,12.960,-71.293,23.400,76.146
5013,12.947,-71.253,23.347,76.090
5025,13.107,-71.253,23.373,76.126
5037,13.067,-71.373,23.307,76.211
5049,13.027,-71.267,23.427,76.141
5060,12.973,-71.240,23.373,76.090
5072,13.053,-71.293,23.280,76.125
5084,12.960,-71.320,23.307,76.143
5118,12.960,-71.267,23.360,76.109
5130,13.040,-71.373,23.147,76.157
5141,12.947,-71.320,23.347,76.153
5153,12.987,-71.240,23.253,76.056
5165,13.000,-71.347,23.253,76.158
5177,13.093,-71.400,23.387,76.265
5188,12.893,-71.427,23.253,76.215
5200,12.987,-71.387,23.307,76.210
5212,12.960,-71.187,23.413,76.051
5224,13.027,-71.227,23.293,76.063
5236,13.120,-71.253,23.413,76.140
5247,12.907,-71.360,23.320,76.175
5259,13.027,-71.187,23.320,76.033
5271,13.027,-71.400,23.333,76.237
5283,13.053,-71.253,23.413,76.129
5317,12.960,-71.213,23.360,76.059
5328,13.027,-71.267,23.267,76.092
5340,12.880,-71.253,23.333,76.075
5352,12.813,-71.213,23.453,76.063
5364,13.120,-71.133,23.293,75.991
5375,12.960,-71.373,23.187,76.156
5387,12.960,-71.413,23.320,76.234
5399,12.973,-71.253,23.453,76.128
5411,13.027,-71.347,23.400,76.208
5423,13.120,-71.320,23.373,76.190
5434,13.000,-71.240,23.347,76.087
5446,13.000,-71.227,23.373,76.083
5458,13.067,-71.307,23.387,76.173
5470,12.880,-71.280,23.333,76.100
5481,12.987,-71.333,23.347,76.172
5515,13.133,-71.200,23.333,76.068
5527,13.040,-71.373,23.147,76.157
5539,12.933,-71.253,23.520,76.141
5551,13.000,-71.240,23.467,76.124
5563,13.093,-71.240,23.387,76.115
5574,12.880,-71.307,23.453,76.162
5586,12.880,-71.187,23.440,76.045
5598,13.000,-71.227,23.480,76.115
5610,13.000,-71.307,23.333,76.145
5621,13.053,-71.320,23.307,76.159
5633,12.920,-71.280,23.387,76.123
5645,13.000,-71.267,23.333,76.108
5657,13.053,-71.307,23.387,76.171
5668,12.920,-71.240,23.280,76.053
5680,12.907,-71.373,23.387,76.208
5714,13.040,-71.347,23.280,76.173
5726,13.000,-71.240,23.253,76.058
5738,12.933,-71.293,23.320,76.117
5750,13.053,-71.227,23.373,76.092
5761,13.120,-71.400,23.333,76.253
