Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
4514,75.493,9.573,29.587,81.647
4526,75.493,9.467,29.547,81.620
4538,75.427,9.467,29.640,81.592
4550,75.600,9.507,29.627,81.753
4561,75.373,9.520,29.520,81.506
4573,75.453,9.293,29.467,81.534
4585,75.453,9.373,29.653,81.611
4619,75.467,9.600,29.507,81.597
4631,75.360,9.427,29.440,81.454
4642,75.440,9.347,29.587,81.572
4654,75.387,9.413,29.453,81.482
4666,75.467,9.440,29.560,81.597
4678,75.413,9.427,29.693,81.595
4690,75.373,9.347,29.640,81.529
4701,75.320,9.533,29.573,81.477
4713,75.427,9.413,29.627,81.581
4725,75.333,9.360,29.573,81.470
4737,75.373,9.400,29.600,81.521
4748,75.600,9.480,29.440,81.682
4760,75.440,9.533,29.507,81.564
4772,75.413,9.387,29.520,81.527
4784,75.493,9.373,29.613,81.634
4818,75.480,9.507,29.413,81.564
4830,75.627,9.480,29.520,81.736
4841,75.480,9.360,29.667,81.639
4853,75.413,9.400,29.600,81.558
4865,75.427,9.320,29.587,81.556
4877,75.373,9.413,29.560,81.508
4888,75.413,9.480,-0.013,76.007
4900,75.413,9.453,29.520,81.535
4912,75.373,9.507,29.533,81.509
4924,75.347,9.400,29.520,81.467
4936,75.507,9.480,29.427,81.591
4947,75.467,9.507,29.587,81.615
4959,75.600,9.560,29.547,81.730
4971,75.413,9.267,29.653,81.562
4983,75.507,9.387,29.627,81.652
5017,75.333,9.387,29.533,81.458
5028,75.440,9.453,29.480,81.545
5040,75.427,9.373,29.413,81.500
5052,75.453,9.440,29.600,81.600
5064,75.453,9.400,29.587,81.590
5075,75.467,9.200,29.613,81.589
5087,75.533,9.360,29.520,81.635
5099,75.453,9.573,29.453,81.562
5111,75.507,9.427,29.507,81.613
5123,75.413,9.333,29.613,81.555
5134,75.467,9.467,29.680,81.644
5146,75.493,9.587,29.547,81.634
5158,75.520,9.387,29.573,81.645
5170,75.507,9.400,29.547,81.625
5181,75.627,9.467,29.507,81.729
5215,75.347,9.440,29.560,81.486
5227,75.547,9.413,29.520,81.654
5239,75.453,9.360,29.453,81.537
5251,75.520,9.453,29.507,81.629
5262,75.427,9.373,29.600,81.567
5274,75.360,9.173,29.560,81.468
5286,75.480,9.413,29.533,81.597
5298,75.507,9.427,29.493,81.609
5310,75.360,9.507,29.613,81.526
5321,75.427,9.333,29.573,81.553
5333,75.467,9.413,29.587,81.604
5345,75.507,9.533,29.520,81.631
5357,75.413,9.400,29.507,81.524
5368,75.547,9.440,29.600,81.686
5380,75.547,9.373,29.480,81.635
5414,75.453,9.360,29.533,81.566
5426,75.347,9.440,29.533,81.477
5438,75.533,9.427,29.533,81.648
5450,75.520,9.467,29.467,81.616
5461,75.427,9.373,29.560,81.553
5473,75.560,9.280,29.587,81.675
5485,75.480,9.480,29.493,81.590
5497,75.453,9.387,29.520,81.564
